id,tenantId,empTitle,empLength,state,homeownership,annualIncome,verifiedIncome,debtToIncome,createdAt,updatedAt
2936fdd2-c911-438d-b922-c82a012b07a7,f1bc27ea-ffb9-4edf-b483-9ac5d728363e,global config engineer ,3,N/A,UNKNOWN,0.0,UNKNOWN,0.0,2025-05-25T19:44:22.541093,2025-05-25T19:44:22.541093
febc0c4f-7c39-4d11-aec2-2ef0c2a3476c,f0f4240a-5ca4-41ee-8f95-011c31c87ad3,warehouse office clerk,10,N/A,UNKNOWN,0.0,UNKNOWN,0.0,2025-05-25T19:44:22.541093,2025-05-25T19:44:22.541093
29efbe55-cba8-42e8-b4c5-8c856c769bd3,f1bc27ea-ffb9-4edf-b483-9ac5d728363e,assembly,3,N/A,UNKNOWN,0.0,UNKNOWN,0.0,2025-05-25T19:44:22.541093,2025-05-25T19:44:22.541093
2c729c49-2311-4741-be16-bdc9c09d75bd,f0f4240a-5ca4-41ee-8f95-011c31c87ad3,customer service,1,N/A,UNKNOWN,0.0,UNKNOWN,0.0,2025-05-25T19:44:22.541093,2025-05-25T19:44:22.541093
1e4f9b68-c649-4950-b75d-4815413361fe,f1bc27ea-ffb9-4edf-b483-9ac5d728363e,security supervisor ,10,N/A,UNKNOWN,0.0,UNKNOWN,0.0,2025-05-25T19:44:22.541093,2025-05-25T19:44:22.541093
87ab3ca3-65c4-497e-8eee-7c8b45f34476,f0f4240a-5ca4-41ee-8f95-011c31c87ad3,nan,0,N/A,UNKNOWN,0.0,UNKNOWN,0.0,2025-05-25T19:44:22.541093,2025-05-25T19:44:22.541093
543ff8ba-5ce9-48d8-9275-322f8d3d7c76,f1bc27ea-ffb9-4edf-b483-9ac5d728363e,hr ,10,N/A,UNKNOWN,0.0,UNKNOWN,0.0,2025-05-25T19:44:22.541093,2025-05-25T19:44:22.541093
1b24f359-9aff-44c6-bf34-bf034146f74b,f0f4240a-5ca4-41ee-8f95-011c31c87ad3,police,10,N/A,UNKNOWN,0.0,UNKNOWN,0.0,2025-05-25T19:44:22.541093,2025-05-25T19:44:22.541093
4563dbcd-a7f3-4d81-bf22-54bcba0128bb,f1bc27ea-ffb9-4edf-b483-9ac5d728363e,parts,10,N/A,UNKNOWN,0.0,UNKNOWN,0.0,2025-05-25T19:44:22.541093,2025-05-25T19:44:22.541093
c7f50e42-4c67-40f2-a9fd-34748fe548b5,f0f4240a-5ca4-41ee-8f95-011c31c87ad3,4th person,3,N/A,UNKNOWN,0.0,UNKNOWN,0.0,2025-05-25T19:44:22.541093,2025-05-25T19:44:22.541093
4ed2d651-929a-447e-81c5-e06b14455f49,f1bc27ea-ffb9-4edf-b483-9ac5d728363e,supervisor,10,N/A,UNKNOWN,0.0,UNKNOWN,0.0,2025-05-25T19:44:22.541093,2025-05-25T19:44:22.541093
8708572a-a445-40ee-9d76-f4f999525ded,f0f4240a-5ca4-41ee-8f95-011c31c87ad3,register nurse,2,N/A,UNKNOWN,0.0,UNKNOWN,0.0,2025-05-25T19:44:22.541093,2025-05-25T19:44:22.541093
efc5c39b-3d9e-4918-9f37-3cd81a207eea,f1bc27ea-ffb9-4edf-b483-9ac5d728363e,respiratory therapist & sleep lab tech,5,N/A,UNKNOWN,0.0,UNKNOWN,0.0,2025-05-25T19:44:22.541093,2025-05-25T19:44:22.541093
40c47e8e-2758-41f1-9e2f-684698fd7d3c,f0f4240a-5ca4-41ee-8f95-011c31c87ad3,senior inspector,10,N/A,UNKNOWN,0.0,UNKNOWN,0.0,2025-05-25T19:44:22.541093,2025-05-25T19:44:22.541093
12db938a-73ef-4e83-85ed-6ce7985ef76f,f1bc27ea-ffb9-4edf-b483-9ac5d728363e,nan,0,N/A,UNKNOWN,0.0,UNKNOWN,0.0,2025-05-25T19:44:22.541093,2025-05-25T19:44:22.541093
11b5e4ee-3ac2-4f78-9479-befbb21c8e51,f0f4240a-5ca4-41ee-8f95-011c31c87ad3,dental hygienist,10,N/A,UNKNOWN,0.0,UNKNOWN,0.0,2025-05-25T19:44:22.541093,2025-05-25T19:44:22.541093
e5cc460a-62e0-474e-992e-bda4a0a97e06,f1bc27ea-ffb9-4edf-b483-9ac5d728363e,nan,0,N/A,UNKNOWN,0.0,UNKNOWN,0.0,2025-05-25T19:44:22.541093,2025-05-25T19:44:22.541093
113e31dd-7e61-42f3-88ba-63943ff37a7d,f0f4240a-5ca4-41ee-8f95-011c31c87ad3,onsite medical ,3,N/A,UNKNOWN,0.0,UNKNOWN,0.0,2025-05-25T19:44:22.541093,2025-05-25T19:44:22.541093
d2727a16-bdd7-4ee7-bb60-561ce3990b71,f1bc27ea-ffb9-4edf-b483-9ac5d728363e,operational risk manager,10,N/A,UNKNOWN,0.0,UNKNOWN,0.0,2025-05-25T19:44:22.541093,2025-05-25T19:44:22.541093
628ad35f-45c1-4fbd-80e0-25b7ece60fb7,f0f4240a-5ca4-41ee-8f95-011c31c87ad3,welder,1,N/A,UNKNOWN,0.0,UNKNOWN,0.0,2025-05-25T19:44:22.541093,2025-05-25T19:44:22.541093
e67280d0-557d-47f1-adac-1172395033a1,f1bc27ea-ffb9-4edf-b483-9ac5d728363e,maintenance adm assistant,10,N/A,UNKNOWN,0.0,UNKNOWN,0.0,2025-05-25T19:44:22.541093,2025-05-25T19:44:22.541093
4030faf7-581a-44e2-b056-b286fa212608,f0f4240a-5ca4-41ee-8f95-011c31c87ad3,warranty administrator,1,N/A,UNKNOWN,0.0,UNKNOWN,0.0,2025-05-25T19:44:22.541093,2025-05-25T19:44:22.541093
79cce2f9-6015-413b-9c13-9ab646b1cae8,f1bc27ea-ffb9-4edf-b483-9ac5d728363e,underwriter,5,N/A,UNKNOWN,0.0,UNKNOWN,0.0,2025-05-25T19:44:22.541093,2025-05-25T19:44:22.541093
42c9cf2b-9258-45c7-9038-a0dfa28e4d56,f0f4240a-5ca4-41ee-8f95-011c31c87ad3,nan,0,N/A,UNKNOWN,0.0,UNKNOWN,0.0,2025-05-25T19:44:22.541093,2025-05-25T19:44:22.541093
c7665d09-acb0-494a-8bfa-b08e5702f308,f1bc27ea-ffb9-4edf-b483-9ac5d728363e,program analyst ,10,N/A,UNKNOWN,0.0,UNKNOWN,0.0,2025-05-25T19:44:22.541093,2025-05-25T19:44:22.541093
cb195a73-157a-4bfd-b53c-fc38828bf451,f0f4240a-5ca4-41ee-8f95-011c31c87ad3,surveyor/cadd tech,7,N/A,UNKNOWN,0.0,UNKNOWN,0.0,2025-05-25T19:44:22.541093,2025-05-25T19:44:22.541093
a1b181f0-ab8b-418a-849d-b04637cbb92e,f1bc27ea-ffb9-4edf-b483-9ac5d728363e,associated ,1,N/A,UNKNOWN,0.0,UNKNOWN,0.0,2025-05-25T19:44:22.541093,2025-05-25T19:44:22.541093
f0f2650c-ec14-4e24-a2b9-0f303b521264,f0f4240a-5ca4-41ee-8f95-011c31c87ad3,inventory control specialist,5,N/A,UNKNOWN,0.0,UNKNOWN,0.0,2025-05-25T19:44:22.541093,2025-05-25T19:44:22.541093
64976da8-1335-457f-a1c9-066cc6f6852f,f1bc27ea-ffb9-4edf-b483-9ac5d728363e,inventory control,3,N/A,UNKNOWN,0.0,UNKNOWN,0.0,2025-05-25T19:44:22.541093,2025-05-25T19:44:22.541093
4b640806-98ae-4f3e-a15d-4ade614d27ca,f0f4240a-5ca4-41ee-8f95-011c31c87ad3,sr direct supoort professional,4,N/A,UNKNOWN,0.0,UNKNOWN,0.0,2025-05-25T19:44:22.541093,2025-05-25T19:44:22.541093
